Station,Photograph,Line(s)[*],Local authority,Zone(s)[†],Opened[5],Main lineopened,Other name(s)[note 2],Usage[6]
Acton Town,,DistrictPiccadilly,Ealing,3,1 July 1879,,Mill Hill Park: 1879–1910,3.57
Aldgate,,Metropolitan[a]Circle,City of London,1,18 November 1876,,,2.78
Aldgate East,,Hammersmith & City[d]District,Tower Hamlets,1,6 October 1884resited 31 October 1938,,Commercial Road: Proposed before opening,3.14
Alperton,,Piccadilly[h],Brent,4,28 June 1903,,Perivale-Alperton: 1903–10,2.06
Amersham,,Metropolitan,Buckinghamshire,9,1 September 1892,,Amersham: 1892–1922Amersham & Chesham Bois: 1922–34,0.86
Angel,,Northern,Islington,1,17 November 1901,,,5.26
Archway,,Northern,Islington,2 & 3,22 June 1907,,Archway Tavern: Proposed before openingHighgate: 1907–39Archway (Highgate): 1939–41Highgate (Archway): 1941–47,4.43
Arnos Grove,,Piccadilly,Enfield,4,19 September 1932,,Bowes Road: Proposed before opening[7],2.34
Arsenal,,Piccadilly,Islington,2,15 December 1906,,Gillespie Road: 1906–32Arsenal (Highbury Hill): 1932– suffix gradually dropped,1.00
Baker Street,,Metropolitan[b]BakerlooCircleJubileeHammersmith & City,City of Westminster,1,10 January 1863,,,8.48
Balham,,Northern,Wandsworth,3,6 December 1926,,,5.24
Bank,,Waterloo & CityNorthernCentral,City of London,1,8 August 1898,,City (W&C line): 1898–1940Lombard Street (Northern line): Proposed before opening,7.03[note 3]
Barbican,,Metropolitan[b]CircleHammersmith & City,City of London,1,23 December 1865,,Aldersgate Street: 1865–1910Aldersgate: 1910–23Aldersgate & Barbican: 1923–68,2.54
Barking,,District[j]Hammersmith & City,Barking and Dagenham,4,2 June 1902,13 June 1854,,14.29
Barkingside,,Central,Redbridge,4,31 May 1948,1 May 1903,,0.92
Barons Court,,DistrictPiccadilly,Hammersmith and Fulham,2,9 October 1905,,,3.13
Battersea Power Station,,Northern,Wandsworth,1,20 September 2021[4],,Battersea: Proposed,No data as opened 2021
Bayswater,,District[c]Circle,City of Westminster,1,1 October 1868,,Bayswater: 1868–1923Bayswater (Queen's Road) & Westbourne Grove: 1923–33Bayswater (Queen's Road): 1933–46Bayswater (Queensway): 1946– suffix gradually dropped,1.09
Becontree,,District,Barking and Dagenham,5,18 July 1932,28 June 1926,Gale Street: 1926–32,2.76
Belsize Park,,Northern,Camden,2,22 June 1907,,Belsize: Proposed before opening,2.77
Bermondsey,,Jubilee,Southwark,2,17 September 1999,,,4.40
Bethnal Green,,Central,Tower Hamlets,2,4 December 1946,,Bethnal: Proposed before opening,6.85
Blackfriars,,District[i]Circle,City of London,1,30 May 1870,,,2.89
Blackhorse Road,,Victoria,Waltham Forest,3,1 September 1968,,,6.16
Bond Street,,CentralJubilee,City of Westminster,1,24 September 1900,,Davies Street: Proposed before openingSelfridge's: Proposed in 1909,9.68
Borough,,Northern,Southwark,1,18 December 1890,,,1.47
Boston Manor,,Piccadilly[l],EalingHounslow,4,1 May 1883,,Boston Road: 1883–1911,1.04
Bounds Green,,Piccadilly,Haringey,3 & 4,19 September 1932,,Brownlow Road: Proposed before opening,2.95
Bow Road,,District[j]Hammersmith & City,Tower Hamlets,2,11 June 1902,,,2.66
